"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.761853188E0,-2.111957371E-1,5.105466843E-1,8.892078400E-1
1.766853188E0,-2.871403992E-1,5.278854370E-1,9.751663208E-1
1.771853188E0,-3.101887703E-1,5.240013599E-1,9.956293106E-1
1.776853188E0,-2.975352705E-1,5.383157730E-1,9.622268677E-1
1.781853188E0,-2.633349299E-1,5.682444572E-1,1.015166283E0
1.786853188E0,-2.146579325E-1,5.471584797E-1,9.683723450E-1
1.791853188E0,-1.574676037E-1,4.982626438E-1,7.786436081E-1
1.796853188E0,-1.035784483E-1,4.540431499E-1,6.794309616E-1
1.801853188E0,-8.370786905E-3,4.004182816E-1,5.689668655E-1
1.806853188E0,7.554242015E-2,2.880959511E-1,4.403724670E-1
1.811853188E0,1.933157444E-2,1.826062202E-1,2.966737747E-1
1.816853188E0,1.413936168E-1,1.485648155E-1,1.758260727E-1
1.821853188E0,2.562437952E-1,1.120612621E-1,1.054763794E-1
1.826853188E0,3.306854367E-1,6.045055389E-2,1.589756012E-1
1.831853188E0,3.848501742E-1,3.928899765E-3,3.020706177E-1
1.836853188E0,3.899934292E-1,-6.322813034E-2,5.268526077E-1
1.841853188E0,3.957847655E-1,-1.081509590E-1,9.073200226E-1
1.846853188E0,3.679139614E-1,-8.817267418E-2,1.351860046E0
1.851853188E0,3.016965687E-1,-6.671190262E-3,1.839233398E0
1.856853188E0,1.989749968E-1,1.117322445E-1,2.333454132E0
1.861853188E0,1.120165586E-1,2.604072094E-1,2.834086418E0
1.866853188E0,3.010338545E-2,3.861439228E-1,3.269472122E0
1.871853188E0,-3.151682019E-2,4.432561398E-1,3.629468918E0
1.876853188E0,-1.195636392E-2,4.112064838E-1,3.911086082E0
1.881853188E0,1.590398848E-1,2.879264355E-1,4.077137947E0
1.886853188E0,4.171131849E-1,1.031222343E-1,4.072426796E0
1.891853188E0,6.444415450E-1,-1.061024666E-1,3.771682739E0
1.896853188E0,7.497155666E-1,-3.223509789E-1,3.307282448E0
